Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0004,
Sample Interval,4e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH2
-1.7512e-03,1.97,2.03
-1.7508e-03,1.97,1.99
-1.7504e-03,1.95,1.99
-1.7500e-03,1.97,1.99
-1.7496e-03,1.97,1.99
-1.7492e-03,1.95,1.99
-1.7488e-03,1.99,1.99
-1.7484e-03,1.97,1.99
-1.7480e-03,1.97,2.01
-1.7476e-03,1.97,2.01
-1.7472e-03,1.97,1.99
-1.7468e-03,1.97,2.01
-1.7464e-03,1.97,2.01
-1.7460e-03,1.95,1.99
-1.7456e-03,1.97,1.99
-1.7452e-03,1.97,1.99
-1.7448e-03,1.95,1.99
-1.7444e-03,1.97,2.01
-1.7440e-03,1.97,2.01
-1.7436e-03,1.97,2.01
-1.7432e-03,1.97,2.01
-1.7428e-03,1.95,2.01
-1.7424e-03,1.99,2.01
-1.7420e-03,1.95,2.01
-1.7416e-03,1.97,1.99
-1.7412e-03,1.97,1.99
-1.7408e-03,1.97,2.01
-1.7404e-03,1.99,2.01
-1.7400e-03,1.97,2.01
-1.7396e-03,1.97,2.01
-1.7392e-03,1.97,2.01
-1.7388e-03,1.95,1.99
-1.7384e-03,1.95,1.99
-1.7380e-03,1.97,2.01
-1.7376e-03,1.97,2.01
-1.7372e-03,1.95,2.01
-1.7368e-03,1.97,2.01
-1.7364e-03,1.97,2.01
-1.7360e-03,1.97,2.01
-1.7356e-03,1.97,2.01
-1.7352e-03,1.95,2.01
-1.7348e-03,1.97,2.03
-1.7344e-03,1.95,2.01
-1.7340e-03,1.97,1.99
-1.7336e-03,1.97,2.01
-1.7332e-03,1.97,1.99
-1.7328e-03,1.95,2.01
-1.7324e-03,1.97,2.01
-1.7320e-03,1.95,2.01
-1.7316e-03,1.97,1.99
-1.7312e-03,1.95,2.01
-1.7308e-03,1.95,2.03
-1.7304e-03,1.97,1.99
-1.7300e-03,1.97,2.03
-1.7296e-03,1.97,2.03
-1.7292e-03,1.97,1.99
-1.7288e-03,1.95,1.99
-1.7284e-03,1.97,1.99
-1.7280e-03,1.97,2.01
-1.7276e-03,1.97,1.99
-1.7272e-03,1.97,2.01
-1.7268e-03,1.97,2.01
-1.7264e-03,1.95,2.01
-1.7260e-03,1.93,1.99
-1.7256e-03,1.97,1.99
-1.7252e-03,1.97,2.01
-1.7248e-03,1.97,1.99
-1.7244e-03,1.95,2.01
-1.7240e-03,1.95,2.01
-1.7236e-03,1.97,1.99
-1.7232e-03,1.95,2.03
-1.7228e-03,1.97,2.01
-1.7224e-03,1.97,2.01
-1.7220e-03,1.97,2.03
-1.7216e-03,1.97,2.01
-1.7212e-03,1.97,2.01
-1.7208e-03,1.95,2.01
-1.7204e-03,1.95,1.99
-1.7200e-03,1.97,2.01
-1.7196e-03,1.97,2.03
-1.7192e-03,1.93,2.01
-1.7188e-03,1.97,2.01
-1.7184e-03,1.97,2.01
-1.7180e-03,1.95,1.99
-1.7176e-03,1.97,2.01
-1.7172e-03,1.95,2.01
-1.7168e-03,1.95,2.01
-1.7164e-03,1.99,2.01
-1.7160e-03,1.97,2.01
-1.7156e-03,1.97,2.01
-1.7152e-03,1.97,1.99
-1.7148e-03,1.97,2.03
-1.7144e-03,1.95,2.01
-1.7140e-03,1.97,2.01
-1.7136e-03,1.97,2.01
-1.7132e-03,1.97,2.01
-1.7128e-03,1.97,2.03
-1.7124e-03,1.97,2.01
-1.7120e-03,1.95,2.01
-1.7116e-03,1.95,1.99
-1.7112e-03,1.97,1.99
-1.7108e-03,1.95,2.01
-1.7104e-03,1.99,2.01
-1.7100e-03,1.97,2.01
-1.7096e-03,1.97,2.01
-1.7092e-03,1.97,1.99
-1.7088e-03,1.97,2.01
-1.7084e-03,1.97,2.03
-1.7080e-03,1.97,2.01
-1.7076e-03,1.95,2.03
-1.7072e-03,1.95,2.03
-1.7068e-03,1.97,2.01
-1.7064e-03,1.97,2.01
-1.7060e-03,1.97,2.01
-1.7056e-03,1.97,2.01
-1.7052e-03,1.97,2.01
-1.7048e-03,1.95,1.99
-1.7044e-03,1.97,1.99
-1.7040e-03,1.97,2.01
-1.7036e-03,1.95,2.01
-1.7032e-03,1.97,1.99
-1.7028e-03,1.97,2.01
-1.7024e-03,1.97,2.01
-1.7020e-03,1.99,1.99
-1.7016e-03,1.99,2.03
-1.7012e-03,1.95,2.01
-1.7008e-03,1.97,2.01
-1.7004e-03,1.95,2.01
-1.7000e-03,1.97,2.01
-1.6996e-03,1.95,1.99
-1.6992e-03,1.97,1.99
-1.6988e-03,1.97,2.01
-1.6984e-03,1.95,2.01
-1.6980e-03,1.95,2.01
-1.6976e-03,1.97,2.01
-1.6972e-03,1.97,2.01
-1.6968e-03,1.95,2.01
-1.6964e-03,1.97,2.01
-1.6960e-03,1.95,1.99
-1.6956e-03,1.97,2.01
-1.6952e-03,1.97,2.01
-1.6948e-03,1.97,1.99
-1.6944e-03,1.95,2.01
-1.6940e-03,1.97,2.01
-1.6936e-03,1.97,2.03
-1.6932e-03,1.97,2.01
-1.6928e-03,1.97,2.01
-1.6924e-03,1.97,2.01
-1.6920e-03,1.97,2.01
-1.6916e-03,1.97,2.01
-1.6912e-03,1.97,2.01
-1.6908e-03,1.99,2.01
-1.6904e-03,1.95,1.99
-1.6900e-03,1.97,2.03
-1.6896e-03,1.97,2.01
-1.6892e-03,1.97,2.01
-1.6888e-03,1.97,2.01
-1.6884e-03,1.99,2.01
-1.6880e-03,1.97,2.03
-1.6876e-03,1.97,2.01
-1.6872e-03,1.97,2.01
-1.6868e-03,1.97,2.01
-1.6864e-03,1.97,2.01
-1.6860e-03,1.97,1.99
-1.6856e-03,1.97,1.99
-1.6852e-03,1.95,2.01
-1.6848e-03,1.97,2.03
