Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4e-05,
Sample Interval,4e-08,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.1,0.2
Label,,
TIME,CH1,CH2
-1.7672e-04,0.07,0.068
-1.7668e-04,0.066,0.076
-1.7664e-04,0.07,0.084
-1.7660e-04,0.074,0.076
-1.7656e-04,0.07,0.068
-1.7652e-04,0.078,0.092
-1.7648e-04,0.074,0.068
-1.7644e-04,0.074,0.092
-1.7640e-04,0.078,0.076
-1.7636e-04,0.07,0.068
-1.7632e-04,0.082,0.084
-1.7628e-04,0.078,0.068
-1.7624e-04,0.07,0.076
-1.7620e-04,0.086,0.084
-1.7616e-04,0.078,0.1
-1.7612e-04,0.078,0.1
-1.7608e-04,0.09,0.092
-1.7604e-04,0.082,0.076
-1.7600e-04,0.082,0.116
-1.7596e-04,0.082,0.1
-1.7592e-04,0.086,0.092
-1.7588e-04,0.082,0.084
-1.7584e-04,0.094,0.092
-1.7580e-04,0.082,0.084
-1.7576e-04,0.086,0.1
-1.7572e-04,0.098,0.1
-1.7568e-04,0.09,0.092
-1.7564e-04,0.102,0.1
-1.7560e-04,0.086,0.1
-1.7556e-04,0.098,0.1
-1.7552e-04,0.094,0.116
-1.7548e-04,0.086,0.116
-1.7544e-04,0.098,0.1
-1.7540e-04,0.098,0.092
-1.7536e-04,0.094,0.116
-1.7532e-04,0.098,0.1
-1.7528e-04,0.106,0.092
-1.7524e-04,0.102,0.132
-1.7520e-04,0.094,0.108
-1.7516e-04,0.11,0.132
-1.7512e-04,0.098,0.116
-1.7508e-04,0.106,0.108
-1.7504e-04,0.106,0.108
-1.7500e-04,0.094,0.116
-1.7496e-04,0.098,0.116
-1.7492e-04,0.102,0.116
-1.7488e-04,0.106,0.108
-1.7484e-04,0.114,0.124
-1.7480e-04,0.106,0.132
-1.7476e-04,0.106,0.108
-1.7472e-04,0.114,0.116
-1.7468e-04,0.118,0.108
-1.7464e-04,0.106,0.108
-1.7460e-04,0.106,0.1
-1.7456e-04,0.114,0.084
-1.7452e-04,0.114,0.108
-1.7448e-04,0.114,0.124
-1.7444e-04,0.114,0.116
-1.7440e-04,0.114,0.124
-1.7436e-04,0.118,0.132
-1.7432e-04,0.118,0.108
-1.7428e-04,0.118,0.132
-1.7424e-04,0.114,0.116
-1.7420e-04,0.118,0.108
-1.7416e-04,0.122,0.124
-1.7412e-04,0.126,0.116
-1.7408e-04,0.134,0.108
-1.7404e-04,0.118,0.116
-1.7400e-04,0.122,0.132
-1.7396e-04,0.122,0.124
-1.7392e-04,0.118,0.124
-1.7388e-04,0.13,0.14
-1.7384e-04,0.126,0.148
-1.7380e-04,0.13,0.156
-1.7376e-04,0.13,0.132
-1.7372e-04,0.13,0.132
-1.7368e-04,0.126,0.124
-1.7364e-04,0.13,0.14
-1.7360e-04,0.126,0.132
-1.7356e-04,0.13,0.132
-1.7352e-04,0.134,0.132
-1.7348e-04,0.13,0.14
-1.7344e-04,0.142,0.132
-1.7340e-04,0.134,0.148
-1.7336e-04,0.13,0.156
-1.7332e-04,0.134,0.124
-1.7328e-04,0.142,0.116
-1.7324e-04,0.138,0.148
-1.7320e-04,0.142,0.132
-1.7316e-04,0.138,0.14
-1.7312e-04,0.138,0.148
-1.7308e-04,0.142,0.148
-1.7304e-04,0.142,0.148
-1.7300e-04,0.15,0.132
-1.7296e-04,0.146,0.148
-1.7292e-04,0.146,0.164
-1.7288e-04,0.142,0.148
-1.7284e-04,0.15,0.156
-1.7280e-04,0.138,0.14
-1.7276e-04,0.15,0.132
-1.7272e-04,0.154,0.156
-1.7268e-04,0.142,0.164
-1.7264e-04,0.15,0.172
-1.7260e-04,0.142,0.156
-1.7256e-04,0.15,0.156
-1.7252e-04,0.154,0.14
-1.7248e-04,0.154,0.164
-1.7244e-04,0.15,0.148
-1.7240e-04,0.154,0.14
-1.7236e-04,0.154,0.172
-1.7232e-04,0.158,0.172
-1.7228e-04,0.162,0.172
-1.7224e-04,0.162,0.172
-1.7220e-04,0.166,0.172
-1.7216e-04,0.158,0.156
-1.7212e-04,0.158,0.156
-1.7208e-04,0.158,0.164
-1.7204e-04,0.166,0.18
-1.7200e-04,0.166,0.172
-1.7196e-04,0.17,0.164
-1.7192e-04,0.17,0.196
-1.7188e-04,0.158,0.172
-1.7184e-04,0.17,0.156
-1.7180e-04,0.158,0.172
-1.7176e-04,0.174,0.18
-1.7172e-04,0.162,0.18
-1.7168e-04,0.178,0.164
-1.7164e-04,0.166,0.172
-1.7160e-04,0.178,0.148
-1.7156e-04,0.162,0.196
-1.7152e-04,0.166,0.18
-1.7148e-04,0.174,0.188
-1.7144e-04,0.178,0.18
-1.7140e-04,0.186,0.164
-1.7136e-04,0.17,0.172
-1.7132e-04,0.178,0.172
-1.7128e-04,0.174,0.196
-1.7124e-04,0.178,0.164
-1.7120e-04,0.178,0.18
-1.7116e-04,0.182,0.18
-1.7112e-04,0.174,0.204
-1.7108e-04,0.182,0.188
-1.7104e-04,0.182,0.188
-1.7100e-04,0.178,0.196
-1.7096e-04,0.19,0.18
-1.7092e-04,0.182,0.18
-1.7088e-04,0.182,0.196
-1.7084e-04,0.178,0.204
-1.7080e-04,0.19,0.164
