Model,DPO4034,DPO4034
Firmware Version,2.1,2.1
,,
Point Format,Y,Y
Horizontal Units,S,S
Horizontal Scale,0.0001,0.0001
Sample Interval,1.00E-07,1.00E-07
Record Length,10000,10000
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.1,1
Label,,
TIME,CH1,CH2
-4.54E-04,-0.404,-0.3
-4.53E-04,-0.388,-0.34
-4.53E-04,-0.4,-0.26
-4.53E-04,-0.396,-0.26
-4.53E-04,-0.396,-0.34
-4.53E-04,-0.396,-0.34
-4.53E-04,-0.408,-0.26
-4.53E-04,-0.4,-0.34
-4.53E-04,-0.404,-0.3
-4.53E-04,-0.408,-0.3
-4.53E-04,-0.408,-0.34
-4.52E-04,-0.408,-0.3
-4.52E-04,-0.412,-0.26
-4.52E-04,-0.42,-0.34
-4.52E-04,-0.408,-0.26
-4.52E-04,-0.412,-0.26
-4.52E-04,-0.416,-0.34
-4.52E-04,-0.412,-0.34
-4.52E-04,-0.412,-0.38
-4.52E-04,-0.416,-0.38
-4.52E-04,-0.424,-0.34
-4.51E-04,-0.428,-0.38
-4.51E-04,-0.428,-0.38
-4.51E-04,-0.428,-0.34
-4.51E-04,-0.432,-0.38
-4.51E-04,-0.432,-0.42
-4.51E-04,-0.436,-0.42
-4.51E-04,-0.436,-0.38
-4.51E-04,-0.436,-0.38
-4.51E-04,-0.448,-0.34
-4.51E-04,-0.44,-0.38
-4.50E-04,-0.444,-0.38
-4.50E-04,-0.44,-0.38
-4.50E-04,-0.436,-0.34
-4.50E-04,-0.448,-0.34
-4.50E-04,-0.44,-0.34
-4.50E-04,-0.452,-0.34
-4.50E-04,-0.444,-0.42
-4.50E-04,-0.452,-0.38
-4.50E-04,-0.456,-0.42
-4.50E-04,-0.448,-0.38
-4.49E-04,-0.46,-0.42
-4.49E-04,-0.452,-0.38
-4.49E-04,-0.46,-0.34
-4.49E-04,-0.46,-0.38
-4.49E-04,-0.46,-0.42
-4.49E-04,-0.456,-0.38
-4.49E-04,-0.468,-0.38
-4.49E-04,-0.46,-0.34
