Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,2e-06,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,1
Label,,
TIME,CH1,CH2
-9.058e-03,-0.75,0.1
-9.056e-03,-0.67,0.06
-9.054e-03,-0.71,0.06
-9.052e-03,-0.75,0.06
-9.050e-03,-0.73,0.06
-9.048e-03,-0.73,0.1
-9.046e-03,-0.71,0.06
-9.044e-03,-0.71,0.06
-9.042e-03,-0.69,0.1
-9.040e-03,-0.73,0.06
-9.038e-03,-0.73,0.06
-9.036e-03,-0.69,0.06
-9.034e-03,-0.69,0.06
-9.032e-03,-0.69,0.06
-9.030e-03,-0.69,0.06
-9.028e-03,-0.69,0.06
-9.026e-03,-0.69,0.06
-9.024e-03,-0.69,0.06
-9.022e-03,-0.69,0.06
-9.020e-03,-0.65,0.1
-9.018e-03,-0.67,0.06
-9.016e-03,-0.69,0.06
-9.014e-03,-0.67,0.1
-9.012e-03,-0.67,0.06
-9.010e-03,-0.65,0.06
-9.008e-03,-0.65,0.06
-9.006e-03,-0.63,0.1
-9.004e-03,-0.63,0.06
-9.002e-03,-0.65,0.06
-9.000e-03,-0.63,0.06
-8.998e-03,-0.63,0.06
-8.996e-03,-0.59,0.06
-8.994e-03,-0.63,0.1
-8.992e-03,-0.63,0.06
-8.990e-03,-0.65,0.06
-8.988e-03,-0.65,0.06
-8.986e-03,-0.63,0.06
-8.984e-03,-0.63,0.06
-8.982e-03,-0.63,0.06
-8.980e-03,-0.61,0.06
-8.978e-03,-0.61,0.06
-8.976e-03,-0.63,0.06
-8.974e-03,-0.61,0.06
-8.972e-03,-0.63,0.06
-8.970e-03,-0.59,0.06
-8.968e-03,-0.59,0.06
-8.966e-03,-0.63,0.06
-8.964e-03,-0.61,0.06
-8.962e-03,-0.61,0.06
-8.960e-03,-0.59,0.06
-8.958e-03,-0.57,0.1
-8.956e-03,-0.61,0.06
-8.954e-03,-0.57,0.02
-8.952e-03,-0.57,0.06
-8.950e-03,-0.57,0.06
-8.948e-03,-0.53,0.1
-8.946e-03,-0.55,0.06
-8.944e-03,-0.57,0.06
-8.942e-03,-0.55,0.06
-8.940e-03,-0.53,0.1
-8.938e-03,-0.53,0.06
-8.936e-03,-0.55,0.06
-8.934e-03,-0.55,0.02
-8.932e-03,-0.55,0.1
-8.930e-03,-0.59,0.06
-8.928e-03,-0.55,0.06
-8.926e-03,-0.53,0.06
-8.924e-03,-0.53,0.1
-8.922e-03,-0.51,0.06
-8.920e-03,-0.53,0.02
-8.918e-03,-0.55,0.06
-8.916e-03,-0.53,0.02
-8.914e-03,-0.47,0.1
-8.912e-03,-0.53,0.06
-8.910e-03,-0.51,0.06
-8.908e-03,-0.53,0.1
-8.906e-03,-0.51,0.06
-8.904e-03,-0.47,0.06
-8.902e-03,-0.49,0.06
-8.900e-03,-0.49,0.1
-8.898e-03,-0.49,0.06
-8.896e-03,-0.51,0.06
-8.894e-03,-0.53,0.06
-8.892e-03,-0.45,0.06
-8.890e-03,-0.47,0.06
-8.888e-03,-0.47,0.06
-8.886e-03,-0.47,0.06
-8.884e-03,-0.45,0.06
-8.882e-03,-0.47,0.06
-8.880e-03,-0.45,0.06
-8.878e-03,-0.49,0.1
-8.876e-03,-0.49,0.06
-8.874e-03,-0.49,0.06
-8.872e-03,-0.43,0.06
-8.870e-03,-0.45,0.06
-8.868e-03,-0.45,0.06
-8.866e-03,-0.43,0.14
-8.864e-03,-0.47,0.06
-8.862e-03,-0.47,0.06
-8.860e-03,-0.45,0.06
-8.858e-03,-0.43,0.06
-8.856e-03,-0.45,0.06
-8.854e-03,-0.45,0.02
-8.852e-03,-0.45,0.06
-8.850e-03,-0.41,0.1
-8.848e-03,-0.45,0.06
-8.846e-03,-0.39,0.06
-8.844e-03,-0.41,0.1
-8.842e-03,-0.41,0.1
-8.840e-03,-0.39,0.1
-8.838e-03,-0.39,0.06
-8.836e-03,-0.39,0.06
-8.834e-03,-0.39,0.1
-8.832e-03,-0.41,0.06
-8.830e-03,-0.43,0.1
-8.828e-03,-0.37,0.06
-8.826e-03,-0.39,0.02
-8.824e-03,-0.39,0.06
-8.822e-03,-0.43,0.1
-8.820e-03,-0.39,0.1
-8.818e-03,-0.37,0.06
-8.816e-03,-0.37,0.02
-8.814e-03,-0.43,0.06
-8.812e-03,-0.37,0.06
-8.810e-03,-0.37,0.06
-8.808e-03,-0.35,0.1
-8.806e-03,-0.37,0.1
-8.804e-03,-0.41,0.06
-8.802e-03,-0.35,0.06
-8.800e-03,-0.37,0.06
-8.798e-03,-0.37,0.06
-8.796e-03,-0.37,0.06
-8.794e-03,-0.35,0.1
-8.792e-03,-0.29,0.06
-8.790e-03,-0.29,0.14
-8.788e-03,-0.31,0.06
-8.786e-03,-0.33,0.1
-8.784e-03,-0.33,0.06
-8.782e-03,-0.35,0.06
-8.780e-03,-0.31,0.14
-8.778e-03,-0.27,0.02
-8.776e-03,-0.29,0.06
-8.774e-03,-0.33,0.06
-8.772e-03,-0.31,0.06
-8.770e-03,-0.27,0.06
-8.768e-03,-0.31,0.1
-8.766e-03,-0.27,0.1
-8.764e-03,-0.31,0.1
-8.762e-03,-0.31,0.06
-8.760e-03,-0.31,0.06
-8.758e-03,-0.27,0.06
-8.756e-03,-0.31,0.06
-8.754e-03,-0.29,0.06
-8.752e-03,-0.25,0.1
-8.750e-03,-0.31,0.02
-8.748e-03,-0.25,0.1
-8.746e-03,-0.27,0.1
-8.744e-03,-0.29,0.06
-8.742e-03,-0.25,0.1
-8.740e-03,-0.29,0.06
-8.738e-03,-0.25,0.06
-8.736e-03,-0.25,0.06
-8.734e-03,-0.27,0.06
-8.732e-03,-0.23,0.06
-8.730e-03,-0.27,0.06
-8.728e-03,-0.27,0.06
-8.726e-03,-0.23,0.02
-8.724e-03,-0.23,0.06
-8.722e-03,-0.21,0.06
-8.720e-03,-0.23,0.02
-8.718e-03,-0.23,0.1
-8.716e-03,-0.25,0.1
-8.714e-03,-0.21,0.06
-8.712e-03,-0.21,0.1
-8.710e-03,-0.21,0.1
-8.708e-03,-0.23,0.06
-8.706e-03,-0.17,0.06
-8.704e-03,-0.19,0.1
-8.702e-03,-0.19,0.1
-8.700e-03,-0.19,0.06
-8.698e-03,-0.21,0.06
-8.696e-03,-0.19,0.06
-8.694e-03,-0.13,0.02
-8.692e-03,-0.17,0.06
-8.690e-03,-0.17,0.06
-8.688e-03,-0.15,0.06
-8.686e-03,-0.17,0.06
-8.684e-03,-0.15,0.06
-8.682e-03,-0.15,-0.02
-8.680e-03,-0.17,0.06
-8.678e-03,-0.15,0.06
-8.676e-03,-0.15,0.06
-8.674e-03,-0.17,0.06
-8.672e-03,-0.15,0.06
-8.670e-03,-0.13,0.06
-8.668e-03,-0.15,0.06
-8.666e-03,-0.13,0.06
-8.664e-03,-0.17,0.06
-8.662e-03,-0.13,0.06
-8.660e-03,-0.11,0.1
-8.658e-03,-0.11,0.02
-8.656e-03,-0.11,0.06
-8.654e-03,-0.15,0.06
-8.652e-03,-0.13,0.1
-8.650e-03,-0.09,0.06
-8.648e-03,-0.11,0.06
-8.646e-03,-0.05,0.06
-8.644e-03,-0.13,0.02
-8.642e-03,-0.11,0.1
-8.640e-03,-0.09,0.1
-8.638e-03,-0.07,0.02
-8.636e-03,-0.07,0.06
-8.634e-03,-0.09,0.1
-8.632e-03,-0.07,0.06
-8.630e-03,-0.11,0.06
-8.628e-03,-0.09,0.1
-8.626e-03,-0.05,0.1
-8.624e-03,-0.03,0.06
-8.622e-03,-0.07,0.1
-8.620e-03,-0.03,0.06
-8.618e-03,-0.07,0.06
-8.616e-03,-0.05,0.06
-8.614e-03,-0.03,0.06
-8.612e-03,-0.05,0.1
-8.610e-03,-0.05,0.1
-8.608e-03,-0.03,0.06
-8.606e-03,-0.01,0.06
-8.604e-03,-0.03,0.06
-8.602e-03,-0.01,0.06
-8.600e-03,-0.03,0.06
-8.598e-03,-0.01,0.06
-8.596e-03,-0.01,0.1
-8.594e-03,0.03,0.1
-8.592e-03,-0.03,0.06
-8.590e-03,0.01,0.1
-8.588e-03,-0.01,0.1
-8.586e-03,-0.01,0.1
-8.584e-03,0.01,0.06
-8.582e-03,0.01,0.06
-8.580e-03,0.01,0.06
-8.578e-03,-0.03,0.1
-8.576e-03,0.03,0.06
-8.574e-03,0.05,0.06
-8.572e-03,0.01,0.1
-8.570e-03,-0.03,0.06
